LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
Qwen2-Ins-72B,709,30.47,0,0,0,0,0,0,0,0,0,0,0
Qwen2-Ins-72B (easy),237,63.71,0,0,0,0,0,0,0,0,0,0,0
Qwen2-Ins-72B (medium),279,21.51,0,0,0,0,0,0,0,0,0,0,0
Qwen2-Ins-72B (hard),193,2.59,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-32B,658,51.52,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-32B (easy),234,87.61,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-32B (medium),263,46.77,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-32B (hard),161,6.83,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-7B,709,34.13,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-7B (easy),238,68.07,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-7B (medium),279,26.52,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Coder-Ins-7B (hard),192,3.12,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-32B,713,47.55,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-32B (easy),238,86.13,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-32B (medium),279,41.58,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-32B (hard),196,9.18,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-72B,713,49.51,1,0.14,2,0,0,1,1,0,2,0,0
Qwen2.5-Ins-72B (easy),238,88.66,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-72B (medium),279,45.88,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-72B (hard),196,7.14,1,0.51,2,0.01,0,1,1,0,2,0,0
Qwen2.5-Ins-7B,712,30.06,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-7B (easy),238,58.4,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-7B (medium),278,25.18,0,0,0,0,0,0,0,0,0,0,0
Qwen2.5-Ins-7B (hard),196,2.55,0,0,0,0,0,0,0,0,0,0,0
Qwen3-235B-A22B,1054,80.46,1,0.09,2,0,0,0,2,0,0,2,0
Qwen3-235B-A22B (easy),322,99.07,0,0,0,0,0,0,0,0,0,0,0
Qwen3-235B-A22B (medium),383,88.77,1,0.26,2,0.01,0,0,2,0,0,2,0
